NamespaceHex	Key
0x1000000	0x0B39
0x1000000	0x0501
0x1000000	0x0500
0x1000000	0x0550
0x1000000	0x0B20
0x1000000	0x0503
0x1000000	0x0551
0x1000000	0x1021
0x1000000	0x0B1B
0x1000000	0x0B1D
0x1000000	0x0B12
0x1000000	0x0B5A
0x1000000	0x0B26
0x1000000	0x0530
0x1000000	0x0552
0x1000000	0x0505
0x1000000	0x24F1
0x1000000	0x24F1
0x1000000	0xEF97
0x1000000	0x0553
0x1000000	0x0B06
0x1000000	0x0B01
0x1000000	0x0507
0x1000000	0x0986
0x1000000	0x09C4
0x1000000	0x090B
0x1000000	0x0909
0x1000000	0x090C
0x1000000	0x090A
0x1000000	0x0B02
0x1000000	0x0B03
0x1000000	0x0B33
0x1000000	0x0B37
0x1000000	0x0A08
0x1000000	0x0B43
0x1000000	0x0560
0x1000000	0x0561
0x1000000	0x0562
0x1000000	0x0563
0x1000000	0x0564
0x1000000	0x0565
0x1000000	0x0566
0x1000000	0x0567
0x1000000	0x0568
0x1000000	0x0569
0x1000000	0x056A
0x1000000	0x0520
0x1000000	0x0521
0x1000000	0x0522
0x1000000	0x0523
0x1000000	0x0524
0x1000000	0x0525
0x1000000	0x0516
0x1000000	0x0517
0x1000000	0x0518
0x1000000	0x0519
0x1000000	0x0555
0x1000000	0x055E
0x1000000	0x052A
0x1000000	0x0B48
0x1000000	0x09EB
0x1000000	0x09CB
0x1000000	0x0556
0x1000000	0x052B
0x1000000	0x0502
0x1000000	0x0B2F
0x1000000	0x2425
0x1000000	0x0B49
0x1000000	0x0B35
0x1000000	0x0981
0x1000000	0x0557
0x1000000	0x055D
0x1000000	0x0B11
0x1000000	0x0B23
0x1000000	0x0E38
0x1000000	0x0558
0x1000000	0x050A
0x1000000	0x050E
0x1000000	0x09EE
0x1000000	0x0958
0x1000000	0x0506
0x1000000	0x0508
0x1000000	0x0509
0x1000000	0x0511
0x1000000	0x0559
0x1000000	0x2442
0x1000000	0x055A
0x1000000	0x0504
0x1000000	0x0B24
0x1000000	0x0515
0x1000000	0x0513
0x1000000	0x3C02
0x1000000	0x3C01
0x1000000	0x050B
0x1000000	0x0B2E
0x1000000	0x055B
0x1000000	0x0B44
0x1000000	0x0B45
0x1000000	0x0B45
0x1000000	0x0B45
0x1000000	0x0B47
0x1000000	0x052C
0x1000000	0x052D
0x1000000	0x052E
0x1000000	0x052F
0x1000000	0x0B47
0x1000000	0x0B46
0x1000000	0x0526
0x1000000	0x0527
0x1000000	0x0528
0x1000000	0x0529
0x1000000	0x0B3E
0x1000000	0x00BE
0x1000000	0x00BD
0x1000000	0x02C5
0x1000000	0x04FB
0x1000000	0x04A3
0x1000000	0x09D3
0x1000000	0x2A3B
0x1000000	0x092E
0x1000000	0x092F
0x1000000	0x050F
0x1000000	0x0B13
0x1000000	0x04FE
0x1000000	0x04FC
0x1000000	0x243F
0x1000000	0x0514
0x1000000	0x0902
0x1000000	0x0540
0x1000000	0x055C
0x1000000	0x0500
0x1000000	0x0571
0x2000000	0x0600
0x3000000	0xF187
0x3000000	0xF189
0x3000000	0xF18C
0x3000000	0xF191
0x3000000	0xF1AB
0x3000000	0xF1A3
0x4000000	0x7201
0x4000000	0x7202
0x4000000	0x7203
0x4000000	0x7204
0x4000000	0x7205
0x4000000	0x7200
0x4000000	0x7101
0x4000000	0x7102
0x4000000	0x7103
0x4000000	0x7104
0x4000000	0x7105
0x4000000	0x7206
0x4000000	0x7207
0x4000000	0x7208
0x4000000	0x7209
0x4000000	0x720A
0x4000000	0x720B
0x4000000	0x720C
0x4000000	0x7100
0x4000000	0x7210
0x4000000	0x7211
0x4000000	0x7212
0x4000000	0x7213
0x4000000	0x7214
0x4000000	0x7215
0x4000000	0x7216
0x4000000	0x7217
0x4000000	0x720D
0x5000000	n/a

