Namespace_hex	Key	Namespace_purpose	SpecID	Longname	Length

0x1000000	0x0B39	Adaptation 	Dia_Anp_13	Audio_Management_Input_Gain_Offset	34
0x1000000	0x0501	Adaptation 	Dia_Anp_114	Audio_Management_Audio_Delay_Lines	12
0x1000000	0x0500	Adaptation 	Dia_Anp_137	Video_audio_encryption	1
0x1000000	0x0550	Adaptation 	Dia_Anp_142	function_configuration_audio	10
0x1000000	0x0B20	Adaptation 	Dia_Anp_307	Set_Loudspeaker_Test_Mode	121
0x1000000	0x0503	Adaptation 	Dia_Anp_503	loudspeaker_test_acoustic_extended_remote	2
0x1000000	0x0551	Adaptation 	Dia_Anp_534	function_configuration_sound	1
0x1000000	0x1021	Adaptation 	Dia_Anp_548	BAP_Debug_Mode_Release	1
0x1000000	0x0B1B	Adaptation 	Dia_Anp_552	Car_Function_Adaptations	231
0x1000000	0x0B1D	Adaptation 	Dia_Anp_1529	Car_Function_List_BAP	256
0x1000000	0x0B12	Adaptation 	Dia_Anp_4134	Summer_Time_Shift_Method	1
0x1000000	0x0B5A	Adaptation 	Dia_Anp_4141	Dashboard_Display_Configuration	8
0x1000000	0x0B26	Adaptation 	Dia_Anp_4185	Headup_display_configuration	3
0x1000000	0x0530	Adaptation 	Dia_Anp_6161	exit_screen_configuration	2
0x1000000	0x0552	Adaptation 	Dia_Anp_4198	function_configuration_car	2
0x1000000	0x0505	Adaptation 	Dia_Anp_6422	function_configuration_rvc	3
0x1000000	0x24F1	Adaptation 	Dia_Anp_4215	Telephone_configuration	1
0x1000000	0x24F1	Adaptation 	Dia_Anp_6665	Telephone_configuration	1
0x1000000	0xEF97	Adaptation 	Dia_Anp_4232	Delay_time_phone	1
0x1000000	0x0553	Adaptation 	Dia_Anp_4237	function_configuration_phone	3
0x1000000	0x0B06	Adaptation 	Dia_Anp_6175	Telephone_Data_Services	1
0x1000000	0x0B01	Adaptation 	Dia_Anp_6375	Mobile_Country_Code	2
0x1000000	0x0507	Adaptation 	Dia_Anp_4274	dtc_thresholds	30
0x1000000	0x0986	Adaptation 	Dia_Anp_4305	Menu_items_for_mobile_online_services	1
0x1000000	0x09C4	Adaptation 	Dia_Anp_4309	Manufactor_specific_connect_app_screening	0
0x1000000	0x090B	Adaptation 	Dia_Anp_4320	Set number for info call	23
0x1000000	0x0909	Adaptation 	Dia_Anp_4323	Set number (roaming) for info call	23
0x1000000	0x090C	Adaptation 	Dia_Anp_4326	Set number for service call	23
0x1000000	0x090A	Adaptation 	Dia_Anp_4329	Set number (roaming) for service call	23
0x1000000	0x0B02	Adaptation 	Dia_Anp_4332	Emergency_Call_1	23
0x1000000	0x0B03	Adaptation 	Dia_Anp_4335	Emergency_Call_1_Roaming	23
0x1000000	0x0B33	Adaptation 	Dia_Anp_4338	Bluetooth_Deactivation	1
0x1000000	0x0B37	Adaptation 	Dia_Anp_4342	Bluetooth_Sniff_Mode	1
0x1000000	0x0A08	Adaptation 	Dia_Anp_4346	Bluetooth_audio_codec	1
0x1000000	0x0B43	Adaptation 	Dia_Anp_4349	WLAN_modul_activation	1
0x1000000	0x0560	Adaptation 	Dia_Anp_5895	ipv4_address_of_subnet_1_on_mib	4
0x1000000	0x0561	Adaptation 	Dia_Anp_5904	ipv4_address_of_subnet_1_on_ccu	4
0x1000000	0x0562	Adaptation 	Dia_Anp_5913	ipv4_address_of_subnet_2_on_mib	4
0x1000000	0x0563	Adaptation 	Dia_Anp_5922	ipv4_address_of_subnet_2_on_ccu	4
0x1000000	0x0564	Adaptation 	Dia_Anp_5931	ipv4_address_of_the_wlan_ap	4
0x1000000	0x0565	Adaptation 	Dia_Anp_5940	ipv6_address_of_subnet_1_on_mib	8
0x1000000	0x0566	Adaptation 	Dia_Anp_5949	ipv6_address_of_subnet_1_on_ccu	8
0x1000000	0x0567	Adaptation 	Dia_Anp_5958	ipv6_address_of_subnet_2_on_mib	8
0x1000000	0x0568	Adaptation 	Dia_Anp_5967	ipv6_address_of_subnet_2_on_ccu	8
0x1000000	0x0569	Adaptation 	Dia_Anp_5976	ipv6_address_of_the_wlan_ap	8
0x1000000	0x056A	Adaptation 	Dia_Anp_5985	wlan_ap_local_net_dhcp_lease_time	1
0x1000000	0x0520	Adaptation 	Dia_Anp_6124	alphabetic_scrollbar	1
0x1000000	0x0521	Adaptation 	Dia_Anp_6128	geocoordinate_create	1
0x1000000	0x0522	Adaptation 	Dia_Anp_6132	geocoordinate_show	1
0x1000000	0x0523	Adaptation 	Dia_Anp_6136	number_to_name_matching_algorithm	1
0x1000000	0x0524	Adaptation 	Dia_Anp_6140	sortorder	1
0x1000000	0x0525	Adaptation 	Dia_Anp_6146	calendar_reminder	1
0x1000000	0x0516	Adaptation 	Dia_Anp_6153	5_ghz_wlan	1
0x1000000	0x0517	Adaptation 	Dia_Anp_6157	same_ssid_for_2_4_and_5_ghz	1
0x1000000	0x0518	Adaptation 	Dia_Anp_6179	channel_band_width_802_11ac	1
0x1000000	0x0519	Adaptation 	Dia_Anp_6185	wlan_channel_numbers	1
0x1000000	0x0555	Adaptation 	Dia_Anp_4353	function_configuration_connectivity	6
0x1000000	0x055E	Adaptation 	Dia_Anp_6205	function_configuration_connectivity_extended	3
