{'Key': '0x0B39', 'Length': '34', 'SpecID': 'Dia_Anp_13', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Audio_Management_Input_Gain_Offset'}
{'Key': '0x0501', 'Length': '12', 'SpecID': 'Dia_Anp_114', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Audio_Management_Audio_Delay_Lines'}
{'Key': '0x0500', 'Length': '1', 'SpecID': 'Dia_Anp_137', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Video_audio_encryption'}
{'Key': '0x0550', 'Length': '10', 'SpecID': 'Dia_Anp_142', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_audio'}
{'Key': '0x0B20', 'Length': '121', 'SpecID': 'Dia_Anp_307', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Set_Loudspeaker_Test_Mode'}
{'Key': '0x0503', 'Length': '2', 'SpecID': 'Dia_Anp_503', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'loudspeaker_test_acoustic_extended_remote'}
{'Key': '0x0551', 'Length': '1', 'SpecID': 'Dia_Anp_534', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_sound'}
{'Key': '0x1021', 'Length': '1', 'SpecID': 'Dia_Anp_548', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'BAP_Debug_Mode_Release'}
{'Key': '0x0B1B', 'Length': '231', 'SpecID': 'Dia_Anp_552', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Car_Function_Adaptations'}
{'Key': '0x0B1D', 'Length': '256', 'SpecID': 'Dia_Anp_1529', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Car_Function_List_BAP'}
{'Key': '0x0B12', 'Length': '1', 'SpecID': 'Dia_Anp_4134', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Summer_Time_Shift_Method'}
{'Key': '0x0B5A', 'Length': '8', 'SpecID': 'Dia_Anp_4141', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Dashboard_Display_Configuration'}
{'Key': '0x0B26', 'Length': '3', 'SpecID': 'Dia_Anp_4185', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Headup_display_configuration'}
{'Key': '0x0530', 'Length': '2', 'SpecID': 'Dia_Anp_6161', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'exit_screen_configuration'}
{'Key': '0x0552', 'Length': '2', 'SpecID': 'Dia_Anp_4198', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_car'}
{'Key': '0x0505', 'Length': '3', 'SpecID': 'Dia_Anp_6422', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_rvc'}
{'Key': '0x24F1', 'Length': '1', 'SpecID': 'Dia_Anp_4215', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Telephone_configuration'}
{'Key': '0x24F1', 'Length': '1', 'SpecID': 'Dia_Anp_6665', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Telephone_configuration'}
{'Key': '0xEF97', 'Length': '1', 'SpecID': 'Dia_Anp_4232', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Delay_time_phone'}
{'Key': '0x0553', 'Length': '3', 'SpecID': 'Dia_Anp_4237', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_phone'}
{'Key': '0x0B06', 'Length': '1', 'SpecID': 'Dia_Anp_6175', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Telephone_Data_Services'}
{'Key': '0x0B01', 'Length': '2', 'SpecID': 'Dia_Anp_6375', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Mobile_Country_Code'}
{'Key': '0x0507', 'Length': '30', 'SpecID': 'Dia_Anp_4274', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'dtc_thresholds'}
{'Key': '0x0986', 'Length': '1', 'SpecID': 'Dia_Anp_4305', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Menu_items_for_mobile_online_services'}
{'Key': '0x09C4', 'Length': '0', 'SpecID': 'Dia_Anp_4309', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Manufactor_specific_connect_app_screening'}
{'Key': '0x090B', 'Length': 'number', 'SpecID': 'Dia_Anp_4320', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Set'}
{'Key': '0x0909', 'Length': 'number', 'SpecID': 'Dia_Anp_4323', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Set'}
{'Key': '0x090C', 'Length': 'number', 'SpecID': 'Dia_Anp_4326', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Set'}
{'Key': '0x090A', 'Length': 'number', 'SpecID': 'Dia_Anp_4329', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Set'}
{'Key': '0x0B02', 'Length': '23', 'SpecID': 'Dia_Anp_4332', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Emergency_Call_1'}
{'Key': '0x0B03', 'Length': '23', 'SpecID': 'Dia_Anp_4335', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Emergency_Call_1_Roaming'}
{'Key': '0x0B33', 'Length': '1', 'SpecID': 'Dia_Anp_4338', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Bluetooth_Deactivation'}
{'Key': '0x0B37', 'Length': '1', 'SpecID': 'Dia_Anp_4342', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Bluetooth_Sniff_Mode'}
{'Key': '0x0A08', 'Length': '1', 'SpecID': 'Dia_Anp_4346', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Bluetooth_audio_codec'}
{'Key': '0x0B43', 'Length': '1', 'SpecID': 'Dia_Anp_4349', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'WLAN_modul_activation'}
{'Key': '0x0560', 'Length': '4', 'SpecID': 'Dia_Anp_5895', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv4_address_of_subnet_1_on_mib'}
{'Key': '0x0561', 'Length': '4', 'SpecID': 'Dia_Anp_5904', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv4_address_of_subnet_1_on_ccu'}
{'Key': '0x0562', 'Length': '4', 'SpecID': 'Dia_Anp_5913', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv4_address_of_subnet_2_on_mib'}
{'Key': '0x0563', 'Length': '4', 'SpecID': 'Dia_Anp_5922', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv4_address_of_subnet_2_on_ccu'}
{'Key': '0x0564', 'Length': '4', 'SpecID': 'Dia_Anp_5931', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv4_address_of_the_wlan_ap'}
{'Key': '0x0565', 'Length': '8', 'SpecID': 'Dia_Anp_5940', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv6_address_of_subnet_1_on_mib'}
{'Key': '0x0566', 'Length': '8', 'SpecID': 'Dia_Anp_5949', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv6_address_of_subnet_1_on_ccu'}
{'Key': '0x0567', 'Length': '8', 'SpecID': 'Dia_Anp_5958', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv6_address_of_subnet_2_on_mib'}
{'Key': '0x0568', 'Length': '8', 'SpecID': 'Dia_Anp_5967', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv6_address_of_subnet_2_on_ccu'}
{'Key': '0x0569', 'Length': '8', 'SpecID': 'Dia_Anp_5976', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'ipv6_address_of_the_wlan_ap'}
{'Key': '0x056A', 'Length': '1', 'SpecID': 'Dia_Anp_5985', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'wlan_ap_local_net_dhcp_lease_time'}
{'Key': '0x0520', 'Length': '1', 'SpecID': 'Dia_Anp_6124', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'alphabetic_scrollbar'}
{'Key': '0x0521', 'Length': '1', 'SpecID': 'Dia_Anp_6128', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'geocoordinate_create'}
{'Key': '0x0522', 'Length': '1', 'SpecID': 'Dia_Anp_6132', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'geocoordinate_show'}
{'Key': '0x0523', 'Length': '1', 'SpecID': 'Dia_Anp_6136', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'number_to_name_matching_algorithm'}
{'Key': '0x0524', 'Length': '1', 'SpecID': 'Dia_Anp_6140', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'sortorder'}
{'Key': '0x0525', 'Length': '1', 'SpecID': 'Dia_Anp_6146', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'calendar_reminder'}
{'Key': '0x0516', 'Length': '1', 'SpecID': 'Dia_Anp_6153', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': '5_ghz_wlan'}
{'Key': '0x0517', 'Length': '1', 'SpecID': 'Dia_Anp_6157', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'same_ssid_for_2_4_and_5_ghz'}
{'Key': '0x0518', 'Length': '1', 'SpecID': 'Dia_Anp_6179', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'channel_band_width_802_11ac'}
{'Key': '0x0519', 'Length': '1', 'SpecID': 'Dia_Anp_6185', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'wlan_channel_numbers'}
{'Key': '0x0555', 'Length': '6', 'SpecID': 'Dia_Anp_4353', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_connectivity'}
{'Key': '0x055E', 'Length': '3', 'SpecID': 'Dia_Anp_6205', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_connectivity_extended'}
{'Key': '0x052A', 'Length': '5', 'SpecID': 'Dia_Anp_6381', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'nhtsa_properties'}
{'Key': '0x0B48', 'Length': '2', 'SpecID': 'Dia_Anp_4445', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Startup_Screen_Sticker_HMI'}
{'Key': '0x09EB', 'Length': '23', 'SpecID': 'Dia_Anp_4448', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Disabled_menu_contents'}
{'Key': '0x09CB', 'Length': '2', 'SpecID': 'Dia_Anp_4983', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Media_country_code_HMI'}
{'Key': '0x0556', 'Length': '4', 'SpecID': 'Dia_Anp_4986', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'function_configuration_hmi'}
{'Key': '0x052B', 'Length': '1', 'SpecID': 'Dia_Anp_6232', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'log_book_initial_language'}
{'Key': '0x0502', 'Length': '3', 'SpecID': 'Dia_Anp_5034', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Testmode_Video_speed_cutoff'}
{'Key': '0x0B2F', 'Length': '1', 'SpecID': 'Dia_Anp_5039', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Multi_Media_Data_Transfer'}
{'Key': '0x2425', 'Length': 'eject', 'SpecID': 'Dia_Anp_6235', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'CD'}
{'Key': '0x0B49', 'Length': '2', 'SpecID': 'Dia_Anp_5047', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Media_Country_Code'}
{'Key': '0x0B35', 'Length': '1', 'SpecID': 'Dia_Anp_5050', 'Namespace_purpose': 'Adaptation', 'Namespace_hex': '0x1000000', 'Longname': 'Media_Region_Codes'}
